company_id,my_label,gpt4,mock,reason
MSM_17328,True,False,True,pattern:행태\s*정보.*수집
MAN_0092,False,False,True,
MSM_18042,False,False,True,
MSM_19513,False,True,True,
MSM_20025,False,False,True,
MSM_22265,False,False,True,
MSM_18741,False,False,False,
MSM_21129,False,True,True,
MSM_20330,False,True,True,
MSM_18828,False,False,True,
MSM_21866,False,False,True,
MAN_0025,False,False,True,
MSM_19772,False,False,False,
MSM_20346,False,True,True,
MAN_0082,False,False,True,
MSM_21687,False,False,False,
MSM_20579,False,False,False,
MSM_21433,False,False,False,
MSM_21838,False,False,False,
MSM_20497,False,False,False,
MSM_13389,False,False,True,
MAN_0030,False,False,True,
MSM_20982,False,False,True,
MSM_22173,False,False,False,
MSM_20291,True,True,True,pattern:행태\s*정보.*수집
MSM_21979,False,False,False,
MSM_21337,False,False,False,
MSM_18069,False,False,False,
MSM_18347,False,False,True,
MAN_0109,True,True,True,service_name:google analytics
MAN_0104,False,True,True,
MSM_19388,False,False,False,
MAN_0060,True,True,True,service_name:google ads
MSM_22310,False,False,True,
MSM_21184,True,True,True,
MSM_19913,True,True,True,service_name:google analytics
MSM_21620,False,False,False,
MSM_21367,False,False,False,
MSM_19090,True,True,True,
MAN_0093,True,True,True,service_name:google analytics
MSM_20834,False,False,False,
MSM_19416,False,False,False,
MSM_21201,False,True,True,
MSM_18525,False,False,False,
MSM_18761,False,False,False,
MSM_22054,False,False,False,
MSM_20928,False,False,True,
MSM_19565,False,False,False,
MAN_0021,True,True,True,service_name:appsflyer
MSM_21022,False,True,True,
MAN_0096,False,False,True,
MAN_0085,False,False,True,
MSM_20429,False,False,True,
MAN_0107,False,False,False,
MSM_20893,False,False,False,
MSM_19568,False,False,False,
MSM_18098,False,False,False,
MSM_19550,False,False,False,
MSM_22247,False,False,False,
MSM_21043,False,False,False,
MSM_19896,False,False,False,
MSM_17720,False,False,False,
MSM_19501,False,False,False,
MSM_20280,False,False,True,
MSM_22287,True,True,True,service_name:google analytics
MSM_20643,False,False,True,
MSM_21222,False,True,True,
MSM_21901,False,False,False,
MSM_19434,False,False,False,
MSM_19537,False,False,False,
MSM_19992,False,False,True,
MSM_03256,False,False,False,
MSM_19783,False,False,False,
MSM_20715,False,True,True,
MSM_20855,False,True,True,
MAN_0083,False,False,False,
MSM_20488,False,False,True,
MSM_20756,False,False,False,
MSM_19848,True,True,True,service_name:google analytics
MSM_18940,False,False,False,
MSM_21442,False,False,False,
MSM_20785,False,False,True,
MSM_18062,False,False,True,
MSM_18325,False,False,False,
MSM_18989,False,False,False,
MSM_18915,False,False,False,
MSM_19590,False,False,True,
MSM_18679,False,False,False,
MSM_20225,False,False,True,
MAN_0031,False,False,True,
MSM_20975,False,False,False,
MSM_19510,False,False,False,
MSM_20546,False,False,True,
MSM_18442,False,False,True,
MAN_0106,False,False,False,
MSM_19034,False,False,False,
MSM_19863,False,False,True,
MAN_0084,True,True,True,service_name:google analytics
MSM_18653,False,True,True,
MSM_21703,False,True,True,
